"[N,i]",no. vertices,no. edges,transitivity,worthy,bipartite,order of symmetry group,order of a vertex stabilizer,order of dart stabilizer,no. of semi-transitive orientations,girth,dimeter,name,id
"C4[ 117, 1 ]",117,234,dart-transitive,TRUE,FALSE,468,4,1,2,4,9,"C_117(1,53)",495
"C4[ 117, 2 ]",117,234,dart-transitive,TRUE,FALSE,468,4,1,2,4,19,"DW(39,3)",496
"C4[ 117, 3 ]",117,234,dart-transitive,TRUE,FALSE,468,4,1,0,4,8,"{4,4}_9,6",497
"C4[ 117, 4 ]",117,234,half-arc-transitive,TRUE,FALSE,234,2,1,2,6,5,"PS(9,13;3)",498
"C4[ 117, 5 ]",117,234,half-arc-transitive,TRUE,FALSE,234,2,1,2,3,8,"PS(3,39;16)",499
"C4[ 118, 1 ]",118,236,dart-transitive,FALSE,FALSE,6802236877180397e4,576460752303423500,144115188075855870,1,4,29,"W(59,2)",500
"C4[ 119, 1 ]",119,238,dart-transitive,TRUE,FALSE,476,4,1,2,4,8,"C_119(1,50)",501
"C4[ 120, 1 ]",120,240,dart-transitive,FALSE,TRUE,13835058055282164e4,1152921504606847e3,288230376151711740,3,4,30,"W(60,2)",502
"C4[ 120, 2 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,3,4,10,"C_120(1,11)",503
"C4[ 120, 3 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,3,4,10,"C_120(1,19)",504
"C4[ 120, 4 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,3,4,15,"C_120(1,29)",505
"C4[ 120, 5 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,3,4,15,"C_120(1,31)",506
"C4[ 120, 6 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,3,4,20,"C_120(1,41)",507
"C4[ 120, 7 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,3,4,12,"C_120(1,49)",508
"C4[ 120, 8 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,3,4,10,"{4,4}_[10,6]",509
"C4[ 120, 9 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,1,6,12,"PS(24,5;2)",510
"C4[ 120, 10 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,1,6,6,"PS(12,20;3)",511
"C4[ 120, 11 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,1,6,6,"MPS(12,20;3)",512
"C4[ 120, 12 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,3,6,6,"PS(10,24;5)",513
"C4[ 120, 13 ]",120,240,dart-transitive,TRUE,TRUE,480,4,1,3,6,6,"PS(10,24;7)",514
"C4[ 120, 14 ]",120,240,half-arc-transitive,TRUE,TRUE,240,2,1,2,6,6,"PS(8,15;2)",515
"C4[ 120, 15 ]",120,240,half-arc-transitive,TRUE,TRUE,240,2,1,2,4,6,"PS(4,60;7)",516
"C4[ 120, 16 ]",120,240,half-arc-transitive,TRUE,TRUE,240,2,1,2,8,6,"MPS(4,60;7)",517
